Time (s),White pixels,Mean Brightness
107.735000,0.183945,50.196078
108.234000,0.197754,50.196078
108.733000,0.208282,50.196078
109.233000,0.214691,50.196078
109.733000,0.216522,50.196078
110.234000,0.218735,50.196078
110.733000,0.208130,50.392157
111.234000,0.211639,50.196078
111.734000,0.203705,50.196078
112.235000,0.214767,50.196078
112.735000,0.208435,50.196078
113.233000,0.187531,50.392157
113.733000,0.177460,50.196078
114.234000,0.171661,50.196078
114.733000,0.162735,50.196078
115.233000,0.164261,50.196078
115.734000,0.168610,50.392157
116.234000,0.171432,50.196078
116.733000,0.175705,50.000000
117.234000,0.185089,50.196078
117.734000,0.176163,50.392157
118.233000,0.199509,50.196078
118.733000,0.202866,50.196078
119.233000,0.189285,50.196078
119.734000,0.186386,50.196078
120.233000,0.203171,50.196078
120.734000,0.199966,50.196078
121.233000,0.216064,50.196078
121.733000,0.216064,50.196078
122.233000,0.218811,50.196078
122.733000,0.216675,50.196078
123.233000,0.217056,50.196078
123.733000,0.216064,50.196078
124.235000,0.205917,50.196078
124.734000,0.217209,50.196078
125.234000,0.213318,50.196078
125.735000,0.210648,50.392157
126.233000,0.213928,50.196078
126.734000,0.218735,50.196078
127.234000,0.215454,50.196078
127.734000,0.213165,50.196078
128.233000,0.210114,50.196078
128.733000,0.207443,50.196078
129.233000,0.198746,50.196078
129.734000,0.211182,50.392157
130.233000,0.200424,50.392157
130.733000,0.199432,50.196078
131.234000,0.206451,50.196078
131.734000,0.202408,50.196078
132.234000,0.210114,50.392157
132.734000,0.205307,50.196078
133.234000,0.208206,50.196078
133.735000,0.214462,50.196078
134.233000,0.196228,50.196078
134.734000,0.193863,50.196078
135.233000,0.195541,50.196078
135.733000,0.196228,50.196078
136.234000,0.213394,50.196078
136.733000,0.199203,50.196078
137.233000,0.197601,50.196078
137.733000,0.192108,50.196078
138.233000,0.193329,50.196078
138.734000,0.198517,50.196078
139.235000,0.210342,50.196078
139.733000,0.193634,50.392157
140.233000,0.197983,50.392157
140.734000,0.196686,50.196078
141.234000,0.204010,50.392157
141.734000,0.189590,50.196078
142.233000,0.201416,50.196078
142.735000,0.212479,50.196078
143.233000,0.194244,50.392157
143.733000,0.200424,50.196078
144.233000,0.192566,50.196078
144.734000,0.205231,50.196078
145.233000,0.198517,50.196078
145.734000,0.195618,50.196078
146.233000,0.192719,50.000000
146.734000,0.205460,50.196078
147.234000,0.195007,50.196078
147.733000,0.191422,50.392157
148.234000,0.200958,50.196078
148.733000,0.188675,50.196078
149.233000,0.193405,50.196078
149.733000,0.192719,50.196078
150.234000,0.198135,50.392157
150.734000,0.200500,50.196078
151.233000,0.191345,50.196078
151.733000,0.201492,50.196078
152.233000,0.190582,50.392157
152.734000,0.198669,50.392157
153.235000,0.206375,50.392157
153.734000,0.205688,50.196078
154.235000,0.208817,50.392157
154.734000,0.198517,50.392157
155.233000,0.192871,50.196078
155.733000,0.200043,50.196078
156.235000,0.210953,50.196078
156.734000,0.201340,50.196078
157.234000,0.199051,50.196078
157.733000,0.197220,50.196078
158.234000,0.207672,50.196078
158.733000,0.195465,50.196078
159.235000,0.209808,50.196078
159.734000,0.197983,50.196078
160.234000,0.196152,50.196078
160.733000,0.193176,50.196078
161.234000,0.207596,50.196078
161.735000,0.206757,50.196078
162.234000,0.196762,50.196078
162.733000,0.208893,50.392157
163.235000,0.210037,50.196078
163.733000,0.198212,50.196078
164.235000,0.209885,50.196078
164.734000,0.200348,50.196078
165.234000,0.201874,50.196078
165.734000,0.204086,50.392157
166.233000,0.195312,50.196078
166.733000,0.198517,50.196078
167.234000,0.194778,50.196078
167.733000,0.198975,50.392157
168.233000,0.185013,50.196078
168.734000,0.195084,50.196078
169.235000,0.205460,50.392157
169.735000,0.198059,50.196078
170.234000,0.184479,50.196078
170.734000,0.183411,50.196078
171.233000,0.179825,50.392157
171.734000,0.183105,50.196078
172.234000,0.175018,50.000000
172.734000,0.170517,50.196078
173.233000,0.153122,50.196078
173.734000,0.158157,50.196078
174.233000,0.155182,50.196078
174.734000,0.158234,50.196078
175.234000,0.163498,50.196078
175.733000,0.169220,50.196078
176.234000,0.169220,50.392157
176.734000,0.158386,50.196078
177.233000,0.179596,50.196078
177.733000,0.180893,50.196078
178.233000,0.186539,50.196078
178.734000,0.182953,50.196078
179.233000,0.192719,50.196078
179.734000,0.191727,50.196078
180.235000,0.194855,50.196078
180.733000,0.208206,50.196078
181.234000,0.204086,50.392157
181.733000,0.201797,50.196078
182.233000,0.200577,50.196078
182.734000,0.199356,50.196078
183.233000,0.194778,50.392157
183.734000,0.198441,50.196078
184.233000,0.183945,50.392157
184.734000,0.186310,50.392157
185.233000,0.183792,50.196078
185.733000,0.183792,50.392157
186.233000,0.185776,50.196078
186.733000,0.178299,50.196078
187.234000,0.177765,50.392157
187.734000,0.175858,50.196078
188.234000,0.181656,50.196078
188.733000,0.162888,50.196078
189.233000,0.166397,50.196078
189.734000,0.168610,50.196078
190.234000,0.154953,50.196078
190.734000,0.150452,50.196078
191.234000,0.147476,50.196078
191.734000,0.152969,50.196078
192.233000,0.154114,50.196078
192.733000,0.149460,50.196078
193.235000,0.149231,50.196078
193.733000,0.168304,50.196078
194.233000,0.162506,50.196078
194.733000,0.170517,50.196078
195.233000,0.168457,50.392157
195.734000,0.149918,50.196078
196.234000,0.172424,50.196078
196.734000,0.175095,50.196078
197.232000,0.183716,50.392157
197.734000,0.173874,50.196078
198.233000,0.185013,50.196078
198.733000,0.191879,50.196078
199.235000,0.172577,50.196078
199.735000,0.176773,50.196078
200.234000,0.193253,50.196078
200.733000,0.200882,50.196078
201.234000,0.199814,50.196078
201.735000,0.180435,50.196078
202.234000,0.200882,50.196078
202.733000,0.194016,50.196078
203.235000,0.196228,50.196078
203.735000,0.198135,50.392157
204.235000,0.197906,50.196078
204.735000,0.195007,50.196078
205.234000,0.178375,50.196078
205.733000,0.173035,50.196078
206.234000,0.171814,50.196078
206.733000,0.168381,50.196078
207.233000,0.169373,50.196078
207.733000,0.154343,50.196078
208.233000,0.156479,50.196078
208.733000,0.147552,50.196078
209.234000,0.146561,50.000000
209.734000,0.166550,50.392157
210.235000,0.148926,50.196078
210.733000,0.156784,50.196078
211.233000,0.153885,50.196078
